id,name,phone,address,bal
1,Ash,111-111-1111,123 central Park,111.000000
2,Tyler,222-222-2222,456 Main St,222.000000
3,Chai,303-303-3030,675 Chai st,333.000000
4,spicy,444-444-4444,44 spicy chai st,444.799988
1,Ash,111-111-1111,123 central Park,111.000000
2,Tyler,222-222-2222,456 Main St,222.000000
3,Chai,303-303-3030,675 Chai st,333.000000
4,spicy,444-444-4444,44 spicy chai st,444.799988
1,Ash,111-111-1111,123 central Park,111.000000
2,Tyler,222-222-2222,456 Main St,222.000000
3,Chai,303-303-3030,675 Chai st,333.000000
4,spicy,444-444-4444,44 spicy chai st,444.799988
